Gene1,Gene2,Avg_Edge_Weight,NumberOfCancerType
USP19|10869,PTPN23|25930,2.2,10
USP34|9736,BIRC6|57448,2.0,9
YAF2|10138,PPHLN1|51535,2.2,8
ZNF250|58500,ZNF16|7564,2.0,11
ZNF45|7596,ZNF180|7733,2.2,10
ZNF45|7596,ZNF225|7768,2.5,10
ZNF706|51123,POLR2K|5440,1.9,9
C1QA|712,AIF1|199,1.9,10
CAPN10|11132,ATG4B|23192,2.0,12
CEMP1|752014,AMDHD2|51005,2.2,11
COL5A1|1289,COL1A1|1277,2.75,12
DCAF15|90379,CCDC130|81576,2.05,8
DDHD2|23259,ASH2L|9070,2.2,12
DHX38|9785,DDX19A|55308,2.1500000000000004,8
EIF3H|8667,EIF3E|3646,2.6,13
EIF3L|51386,EIF3D|8664,2.7,15
EXOSC4|54512,COMMD5|28991,2.2,13
GDI2|2665,CDC123|8872,2.0,9
GOLGA3|2802,EP400|57634,1.9,8
GPKOW|27238,CCDC22|28952,2.3,8
HLA-DRA|3122,HLA-DPB1|3115,2.9,14
HSPA9|3313,ETF1|2107,2.0,10
INTS9|55756,ELP3|55140,2.2,10
KIF11|3832,CEP55|55165,2.3,12
LSM6|11157,ANAPC10|10393,2.0,8
MAD2L1|4085,CCNA2|890,2.5,9
MLF2|8079,COPS7A|50813,2.0,12
MRPL51|51258,EMG1|10436,2.2,13
MRPS11|64963,MRPL46|26589,2.5,11
NOC2L|26155,LRRC47|57470,1.9,13
NOL12|79159,GGA1|26088,2.2,9
NSA2|10412,BTF3|689,2.4,14
NUDCD1|84955,ENY2|56943,1.95,8
PACS2|23241,BRF1|2972,2.2,13
PARP9|83666,PARP14|54625,2.25,14
PFN1|5216,EIF5A|1984,2.2,12
PHB2|11331,MRPL51|51258,2.05,8
PIN1|5300,MRPL4|51073,2.05,10
POLR1C|9533,MRPL14|64928,2.2,9
POP7|10248,BUD31|8896,2.2,9
PPP2R2A|5520,CNOT7|29883,2.1,10
PPRC1|23082,NOLC1|9221,2.2,12
PRC1|9055,KIF23|9493,1.9,9
PRKDC|5591,MCM4|4173,2.0,12
PRPF31|26121,CNOT3|4849,2.2,8
PSMD2|5708,EIF4G1|1981,2.2,10
PSMD7|5713,KARS|3735,2.1,8
RBM34|23029,GGPS1|9453,2.1500000000000004,8
RBM6|10180,RBM5|10181,2.25,10
RCOR3|55758,ANGEL2|90806,1.9,10
RPL35|11224,RPL12|6136,2.3,14
RPL35A|6165,RPL24|6152,2.2,11
RPS11|6205,RPL28|6158,2.1500000000000004,12
RPS13|6207,RPLP2|6181,2.1500000000000004,12
RPS19|6223,RPS16|6217,2.4,13
RPS3|6188,EEF1G|1937,2.5,12
RPS3A|6189,RPL10A|4736,2.2,11
RPS8|6202,RPL11|6135,2.35,12
SART1|9092,DRAP1|10589,1.85,8
SF3B3|23450,DDX19A|55308,2.2,9
SHARPIN|81858,MAF1|84232,2.7,13
SNF8|11267,PHB|5245,2.0,8
SNRPF|6636,NDUFA12|55967,2.2,11
STUB1|10273,MRPS34|65993,2.3,11
STUB1|10273,NDUFB10|4716,1.85,8
TAF4|6874,LSM14B|149986,2.3,10
TAGLN|6876,ACTA2|59,2.5,14
TBC1D10B|26000,RNF40|9810,2.3,8
TBL3|10607,NUBP2|10101,2.1,11
TCEA1|6917,LYPLA1|10434,2.2,10
TELO2|9894,NUBP2|10101,1.8,9
TIMM22|29928,PSMB6|5694,2.0,11
TM9SF4|9777,POFUT1|23509,2.0,9
TMED9|54732,LMAN2|10960,2.4,13
TMEM126B|55863,TMEM126A|84233,2.25,12
TMEM208|29100,NUTF2|10204,1.95,8
TNFAIP8L2|79626,SPI1|6688,1.9,8
TNKS|8658,CNOT7|29883,1.85,8
TRAPPC3|27095,ADPRHL2|54936,1.95,10
TSR1|55720,GEMIN4|50628,2.0,10
TYROBP|7305,AIF1|199,2.0,11
TYROBP|7305,C1QA|712,2.0,13
UBE2K|3093,PDS5A|23244,2.2,9
UPF3A|65110,CDC16|8881,2.2,9
URB2|9816,TAF5L|27097,1.95,12
VAPA|9218,NAPG|8774,1.9,9
VPS26A|9559,DDX50|79009,1.95,10
WDR5|11091,REXO4|57109,2.2,11
ZBED4|9889,BRD1|23774,2.2,11
ZC3H3|23144,SHARPIN|81858,2.2,11
ZNF230|7773,ZNF222|7673,2.05,12
ZNF230|7773,ZNF227|7770,2.1500000000000004,10
ZNF615|284370,ZNF614|80110,2.4,9
BTBD6|90135,BRF1|2972,1.85,8
COL3A1|1281,COL1A2|1278,3.0,11
COQ9|57017,CIAPIN1|57019,2.2,10
CUL4A|8451,CDC16|8881,2.1,10
DCTN6|10671,CCDC25|55246,1.9,8
